speakercode,sentencecode,gender,label,F1,F2,Lang,level,tStart,tEnd,dur
hen001,p01_021_f1_r1,m,ih,351.5314177039404,1249.3579266641218,L1,null,5.11,5.14,0.02999999999999936
hen001,p01_021_f1_r1,m,ae,642.1396049815271,1367.4498487020983,L1,null,5.34,5.44,0.10000000000000053
hen001,p01_021_f1_r1,m,iy,371.9614447374618,1773.0281397325343,L1,null,5.56,5.62,0.0600000000000005
hen001,p01_021_f1_r1,m,ax,479.9655644586381,1330.864506699314,L1,null,5.62,5.66,0.040000000000000036
hen001,p01_021_f1_r1,m,ao,425.1216525531496,787.5259775859876,L1,null,5.86,6.01,0.14999999999999947
hen001,p01_021_f1_r1,m,sil,951.5928623318168,1910.214447301335,L1,null,6.27,6.9,0.6300000000000008
hen001,p01_022,m,sil,706.1238677221047,1741.5511936379016,L1,null,0,1.27,1.27
hen001,p01_022,m,ih,319.59972066358756,1180.6021493155627,L1,null,1.38,1.41,0.030000000000000027
hen001,p01_022,m,ax,478.0185461840099,2229.850288684538,L1,null,1.53,1.56,0.030000000000000027
hen001,p01_022,m,uw,293.9230390304706,1437.734246731404,L1,null,1.73,1.77,0.040000000000000036
hen001,p01_022,m,ax,1784.1163447369881,2180.5628304259703,L1,null,1.82,1.85,0.030000000000000027
hen001,p01_022,m,ax,309.5907548819432,1511.2318544034442,L1,null,1.88,1.91,0.030000000000000027
hen001,p01_022,m,iy,330.0284374412756,1970.2721026805618,L1,null,1.94,1.97,0.030000000000000027
hen001,p01_022,m,eh,493.3293102282307,1312.1566540452723,L1,null,2.14,2.18,0.040000000000000036
hen001,p01_022,m,ih,360.4308877228019,1421.2472283866027,L1,null,2.35,2.38,0.029999999999999805
hen001,p01_022,m,aa,640.9653650624637,1095.520365250759,L1,null,2.51,2.56,0.050000000000000266
hen001,p01_022,m,ax,540.7349988617249,1224.3938895374527,L1,null,2.64,2.67,0.029999999999999805
hen001,p01_022,m,ey,420.7367375912388,1630.2084645894108,L1,null,2.73,2.8,0.06999999999999984
hen001,p01_022,m,ih,318.6886650592639,1674.8580670148003,L1,null,2.92,2.95,0.03000000000000025
hen001,p01_022,m,uw,262.8411916838878,1502.159761446221,L1,null,3.05,3.09,0.040000000000000036
hen001,p01_022,m,ao,375.3505399249642,783.0485810214534,L1,null,3.15,3.29,0.14000000000000012
hen001,p01_022,m,ax,532.5297612119192,1513.1170160742606,L1,null,3.72,3.77,0.04999999999999982
hen001,p01_022,m,ax,446.48322618568824,1366.8302297267455,L1,null,3.87,3.9,0.029999999999999805
hen001,p01_022,m,iy,370.57750513219696,2257.6330339982296,L1,null,4.05,4.26,0.20999999999999996
hen001,p01_022,m,sil,838.6294239479055,1933.5753131861377,L1,null,4.26,4.65,0.39000000000000057
hen001,p01_023,m,sil,601.9023954234039,1623.8303922580471,L1,null,0,1.24,1.24
hen001,p01_023,m,aa,655.7658635261279,1235.7217320302525,L1,null,1.37,1.44,0.06999999999999984
hen001,p01_023,m,ih,519.6174828633235,1184.9009202136208,L1,null,1.49,1.54,0.050000000000000044
hen001,p01_023,m,ey,377.6778061320432,2005.5401571677153,L1,null,1.73,1.84,0.1100000000000001
hen001,p01_023,m,ih,390.31419868424047,1642.4332894219547,L1,null,2,2.05,0.04999999999999982
hen001,p01_023,m,ih,438.3058779083242,2052.2085478702315,L1,null,2.13,2.17,0.040000000000000036
hen001,p01_023,m,ae,614.9672085142051,1340.331876271553,L1,null,2.28,2.36,0.08000000000000007
hen001,p01_023,m,ax,455.62720817309923,1293.3839970669837,L1,null,2.45,2.49,0.040000000000000036
hen001,p01_023,m,ae,612.5510367079917,1400.4889328811853,L1,null,2.56,2.65,0.08999999999999986
hen001,p01_023,m,ih,525.1294159823819,1687.167503065221,L1,null,2.71,2.74,0.03000000000000025
hen001,p01_023,m,ih,369.18935111258963,1847.994264487202,L1,null,3.04,3.12,0.08000000000000007
hen001,p01_023,m,ax,393.0556245370759,1520.7513286718374,L1,null,3.23,3.26,0.029999999999999805
